ETP_DN2_DOWN;ETP_DN2_UP;DN2-DN3a_DOWN;DN2-DN3a_UP;DN3a_DN3b_DOWN;DN3a_DN3b_UP;DN3b_DN3-4_DOWN;DN3b_DN3-4_UP;DN3-4_ISP_DOWN;DN3-4_ISP_UP;ISP_DP_DOWN;ISP_DP_UP
;;SLC7A8;PGAM2;GMFG;POLE;;;;;CAD;PTAFR
;;NPL;CD3G;GAB1;DNMT1;;;;;SMARCC1;BMF
;;SMS;BAIAP3;RUNX1;USP1;;;;;AURKA;null
;;IGFBP4;ITGB4;CLCN2;CENPH;;;;;POLR3G;POU2F2
;;BCL11A;TMC6;AHR;ORC6L;;;;;PHF5A;ZDHHC20
;;NR4A2;null;UNC93B1;MAGOH;;;;;CBX5;EYA2
;;null;TM6SF1;SMARCA4;MCM3;;;;;DDX21;NR4A1
;;EME1;DHCR7;TSC22D3;ABCF2;;;;;SUZ12;ACOX3
;;HSD17B12;BST1;DHRS3;BARD1;;;;;LRRC42;CLK3
;;GNPNAT1;SPIB;S100A11;MPP6;;;;;CCNF;GLCCI1
;;TES;PCMTD1;YPEL3;CD5;;;;;AMD1;ARNTL
;;SLC35F5;LDLR;NOTCH3;ORC1L;;;;;LYAR;null
;;MCM10;TMEM131;RNF167;CBWD1;;;;;null;null
;;FCER1G;RAG2;PLXDC2;SNRPA1;;;;;MTRR;PAPSS2
;;TYMS;null;RAG1;PFKP;;;;;CDC6;ACHE
;;FES;WDR78;ANKS3;ADK;;;;;RPL37;null
;;DUT;XBP1;PTCRA;NCL;;;;;PIGA;CD37
;;ERH;PPT1;FBXL12;PRIM1;;;;;INCENP;MXD4
;;ZBTB16;RAB6B;null;LSM3;;;;;null;ITGAM
;;DUSP1;LY6D;CCPG1;RANGAP1;;;;;NHP2L1;null
;;SPRED1;null;ACSS2;PTGES3;;;;;E2F3;CEACAM1
;;CDT1;CAPN5;SEMA4A;NT5DC2;;;;;NANS;RARA
;;EXO1;CD79B;LSP1;NT5C;;;;;TOPBP1;ARX
;;PAM;CTLA4;STAT4;MND1;;;;;TUBG1;EGR1
;;SMC6;NDRG1;PARP8;RPS27L;;;;;YBX1;DOPEY2
;;MYO5A;REPIN1;null;RPA2;;;;;PELP1;CDKL2
;;RRM1;PLD4;HES1;RPA1;;;;;null;null
;;TUBB2C;HMGN3;GBP4;UCHL5;;;;;NCAPG2;IRX3
;;GPX1;H19;PQLC3;CLTB;;;;;GMNN;null
;;FANCA;;HBP1;COX6A1;;;;;WDHD1;SCAND1
;;IL31RA;;DPP4;NUDT5;;;;;LACTB2;CNNM2
;;PTER;;BAIAP3;TMPO;;;;;NPM1;LDHB
;;PLK3;;ITGB4;PCNA;;;;;COX6C;TIPARP
;;SLC16A7;;TMC6;LRDD;;;;;TIPIN;ZBTB20
;;null;;SOCS2;EIF2S2;;;;;null;ACTN1
;;IL15;;TM6SF1;COX5A;;;;;PASK;GRAMD1A
;;RFWD3;;null;CTPS;;;;;null;PRKCZ
;;USP14;;STARD10;PDCD1;;;;;PABPC1;TUBB4
